Symbol,Dzien,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,nie,nie
2992.N,D,20140502,100.02,100.02,100.02,100.02,0,0
2992.N,D,20140505,100.03,100.03,100.03,100.03,0,0
2992.N,D,20140506,100.04,100.04,100.04,100.04,0,0
2992.N,D,20140507,100.04,100.04,100.04,100.04,0,0
2992.N,D,20140508,100.05,100.05,100.05,100.05,0,0
2992.N,D,20140509,100.05,100.05,100.05,100.05,0,0
2992.N,D,20140512,100.06,100.06,100.06,100.06,0,0
2992.N,D,20140513,100.29,100.29,100.29,100.29,0,0
2992.N,D,20140514,100.3,100.3,100.3,100.3,0,0
2992.N,D,20140515,99.87,99.87,99.87,99.87,0,0
2992.N,D,20140516,99.91,99.91,99.91,99.91,0,0
2992.N,D,20140519,99.9,99.9,99.9,99.9,0,0
2992.N,D,20140520,99.57,99.57,99.57,99.57,0,0
2992.N,D,20140521,99.97,99.97,99.97,99.97,0,0
2992.N,D,20140522,100.27,100.27,100.27,100.27,0,0
2992.N,D,20140523,100.33,100.33,100.33,100.33,0,0
2992.N,D,20140526,100.39,100.39,100.39,100.39,0,0
2992.N,D,20140527,100.35,100.35,100.35,100.35,0,0
2992.N,D,20140528,100.45,100.45,100.45,100.45,0,0
2992.N,D,20140529,100.58,100.58,100.58,100.58,0,0
2992.N,D,20140530,100.39,100.39,100.39,100.39,0,0
2992.N,D,20140602,100.47,100.47,100.47,100.47,0,0
2992.N,D,20140603,100.47,100.47,100.47,100.47,0,0
2992.N,D,20140604,100.6,100.6,100.6,100.6,0,0
2992.N,D,20140605,100.78,100.78,100.78,100.78,0,0
2992.N,D,20140606,101.31,101.31,101.31,101.31,0,0
2992.N,D,20140609,101.33,101.33,101.33,101.33,0,0
2992.N,D,20140610,101.16,101.16,101.16,101.16,0,0
2992.N,D,20140611,100.97,100.97,100.97,100.97,0,0
2992.N,D,20140612,101.19,101.19,101.19,101.19,0,0
2992.N,D,20140613,101.29,101.29,101.29,101.29,0,0
2992.N,D,20140616,101.05,101.05,101.05,101.05,0,0
2992.N,D,20140617,101.03,101.03,101.03,101.03,0,0
2992.N,D,20140618,101.1,101.1,101.1,101.1,0,0
2992.N,D,20140620,100.77,100.77,100.77,100.77,0,0
2992.N,D,20140623,101.03,101.03,101.03,101.03,0,0
2992.N,D,20140624,101.34,101.34,101.34,101.34,0,0
2992.N,D,20140625,101.67,101.67,101.67,101.67,0,0
2992.N,D,20140626,101.64,101.64,101.64,101.64,0,0
2992.N,D,20140627,101.63,101.63,101.63,101.63,0,0
2992.N,D,20140630,101.63,101.63,101.63,101.63,0,0
2992.N,D,20140701,101.67,101.67,101.67,101.67,0,0
2992.N,D,20140702,101.56,101.56,101.56,101.56,0,0
2992.N,D,20140703,101.5,101.5,101.5,101.5,0,0
2992.N,D,20140704,101.76,101.76,101.76,101.76,0,0
2992.N,D,20140707,101.86,101.86,101.86,101.86,0,0
2992.N,D,20140708,102.02,102.02,102.02,102.02,0,0
2992.N,D,20140709,101.86,101.86,101.86,101.86,0,0
2992.N,D,20140710,101.88,101.88,101.88,101.88,0,0
2992.N,D,20140711,101.79,101.79,101.79,101.79,0,0
2992.N,D,20140714,101.85,101.85,101.85,101.85,0,0
2992.N,D,20140715,101.64,101.64,101.64,101.64,0,0
2992.N,D,20140716,101.82,101.82,101.82,101.82,0,0
2992.N,D,20140717,101.95,101.95,101.95,101.95,0,0
2992.N,D,20140718,102.03,102.03,102.03,102.03,0,0
2992.N,D,20140721,101.99,101.99,101.99,101.99,0,0
2992.N,D,20140722,102.05,102.05,102.05,102.05,0,0
2992.N,D,20140723,102.47,102.47,102.47,102.47,0,0
2992.N,D,20140724,102.36,102.36,102.36,102.36,0,0
2992.N,D,20140725,102.44,102.44,102.44,102.44,0,0
2992.N,D,20140728,102.48,102.48,102.48,102.48,0,0
2992.N,D,20140729,102.57,102.57,102.57,102.57,0,0
2992.N,D,20140730,102.46,102.46,102.46,102.46,0,0
2992.N,D,20140731,101.95,101.95,101.95,101.95,0,0
2992.N,D,20140801,101.78,101.78,101.78,101.78,0,0
2992.N,D,20140804,102.35,102.35,102.35,102.35,0,0
2992.N,D,20140805,101.84,101.84,101.84,101.84,0,0
2992.N,D,20140806,101.89,101.89,101.89,101.89,0,0
2992.N,D,20140807,102.16,102.16,102.16,102.16,0,0
2992.N,D,20140808,102.19,102.19,102.19,102.19,0,0
2992.N,D,20140811,102.45,102.45,102.45,102.45,0,0
2992.N,D,20140812,102.38,102.38,102.38,102.38,0,0
2992.N,D,20140813,102.58,102.58,102.58,102.58,0,0
2992.N,D,20140814,102.92,102.92,102.92,102.92,0,0
2992.N,D,20140818,103.06,103.06,103.06,103.06,0,0
2992.N,D,20140819,103.11,103.11,103.11,103.11,0,0
2992.N,D,20140820,103.06,103.06,103.06,103.06,0,0
2992.N,D,20140821,103.11,103.11,103.11,103.11,0,0
2992.N,D,20140822,103.12,103.12,103.12,103.12,0,0
2992.N,D,20140825,103.2,103.2,103.2,103.2,0,0
2992.N,D,20140826,103.33,103.33,103.33,103.33,0,0
2992.N,D,20140827,103.42,103.42,103.42,103.42,0,0
2992.N,D,20140828,103.28,103.28,103.28,103.28,0,0
2992.N,D,20140829,103.3,103.3,103.3,103.3,0,0
2992.N,D,20140901,103.38,103.38,103.38,103.38,0,0
2992.N,D,20140902,103.32,103.32,103.32,103.32,0,0
2992.N,D,20140903,103.63,103.63,103.63,103.63,0,0
2992.N,D,20140904,103.72,103.72,103.72,103.72,0,0
2992.N,D,20140905,103.9,103.9,103.9,103.9,0,0
2992.N,D,20140908,104.16,104.16,104.16,104.16,0,0
2992.N,D,20140909,103.78,103.78,103.78,103.78,0,0
2992.N,D,20140910,103.79,103.79,103.79,103.79,0,0
2992.N,D,20140911,103.8,103.8,103.8,103.8,0,0
2992.N,D,20140912,103.55,103.55,103.55,103.55,0,0
2992.N,D,20140915,103.68,103.68,103.68,103.68,0,0
2992.N,D,20140916,103.57,103.57,103.57,103.57,0,0
2992.N,D,20140917,103.76,103.76,103.76,103.76,0,0
2992.N,D,20140918,103.67,103.67,103.67,103.67,0,0
2992.N,D,20140919,103.79,103.79,103.79,103.79,0,0
2992.N,D,20140922,104.04,104.04,104.04,104.04,0,0
2992.N,D,20140923,104.12,104.12,104.12,104.12,0,0
2992.N,D,20140924,104.49,104.49,104.49,104.49,0,0
2992.N,D,20140925,104.65,104.65,104.65,104.65,0,0
2992.N,D,20140926,104.34,104.34,104.34,104.34,0,0
2992.N,D,20140929,104.32,104.32,104.32,104.32,0,0
2992.N,D,20140930,104.24,104.24,104.24,104.24,0,0
2992.N,D,20141001,104.44,104.44,104.44,104.44,0,0
2992.N,D,20141002,104.28,104.28,104.28,104.28,0,0
2992.N,D,20141003,104.25,104.25,104.25,104.25,0,0
2992.N,D,20141006,104.47,104.47,104.47,104.47,0,0
2992.N,D,20141007,104.6,104.6,104.6,104.6,0,0
2992.N,D,20141008,104.8,104.8,104.8,104.8,0,0
2992.N,D,20141009,105.14,105.14,105.14,105.14,0,0
2992.N,D,20141010,105.11,105.11,105.11,105.11,0,0
2992.N,D,20141013,105.19,105.19,105.19,105.19,0,0
2992.N,D,20141014,105.47,105.47,105.47,105.47,0,0
2992.N,D,20141015,105.55,105.55,105.55,105.55,0,0
2992.N,D,20141016,105.18,105.18,105.18,105.18,0,0
2992.N,D,20141017,105.37,105.37,105.37,105.37,0,0
2992.N,D,20141020,105.4,105.4,105.4,105.4,0,0
2992.N,D,20141021,105.44,105.44,105.44,105.44,0,0
2992.N,D,20141022,105.47,105.47,105.47,105.47,0,0
2992.N,D,20141023,105.48,105.48,105.48,105.48,0,0
2992.N,D,20141024,105.44,105.44,105.44,105.44,0,0
2992.N,D,20141027,105.42,105.42,105.42,105.42,0,0
2992.N,D,20141028,105.49,105.49,105.49,105.49,0,0
2992.N,D,20141029,105.56,105.56,105.56,105.56,0,0
2992.N,D,20141030,105.48,105.48,105.48,105.48,0,0
2992.N,D,20141031,105.64,105.64,105.64,105.64,0,0
2992.N,D,20141103,105.6,105.6,105.6,105.6,0,0
2992.N,D,20141104,105.68,105.68,105.68,105.68,0,0
2992.N,D,20141105,105.43,105.43,105.43,105.43,0,0
2992.N,D,20141106,105.36,105.36,105.36,105.36,0,0
2992.N,D,20141107,105.28,105.28,105.28,105.28,0,0
2992.N,D,20141110,105.4,105.4,105.4,105.4,0,0
2992.N,D,20141112,105.53,105.53,105.53,105.53,0,0
2992.N,D,20141113,105.73,105.73,105.73,105.73,0,0
2992.N,D,20141114,105.39,105.39,105.39,105.39,0,0
2992.N,D,20141117,105.4,105.4,105.4,105.4,0,0
2992.N,D,20141118,105.38,105.38,105.38,105.38,0,0
2992.N,D,20141119,105.25,105.25,105.25,105.25,0,0
2992.N,D,20141120,105.41,105.41,105.41,105.41,0,0
2992.N,D,20141121,105.68,105.68,105.68,105.68,0,0
2992.N,D,20141124,105.63,105.63,105.63,105.63,0,0
2992.N,D,20141125,105.7,105.7,105.7,105.7,0,0
2992.N,D,20141126,105.86,105.86,105.86,105.86,0,0
2992.N,D,20141127,105.84,105.84,105.84,105.84,0,0
2992.N,D,20141128,105.84,105.84,105.84,105.84,0,0
2992.N,D,20141201,105.67,105.67,105.67,105.67,0,0
2992.N,D,20141202,105.47,105.47,105.47,105.47,0,0
2992.N,D,20141203,105.41,105.41,105.41,105.41,0,0
2992.N,D,20141204,105.34,105.34,105.34,105.34,0,0
2992.N,D,20141205,105.22,105.22,105.22,105.22,0,0
2992.N,D,20141208,105.29,105.29,105.29,105.29,0,0
2992.N,D,20141209,105.37,105.37,105.37,105.37,0,0
2992.N,D,20141210,105.29,105.29,105.29,105.29,0,0
2992.N,D,20141211,105.26,105.26,105.26,105.26,0,0
2992.N,D,20141212,105.32,105.32,105.32,105.32,0,0
2992.N,D,20141215,105.54,105.54,105.54,105.54,0,0
2992.N,D,20141216,105.18,105.18,105.18,105.18,0,0
2992.N,D,20141217,105.32,105.32,105.32,105.32,0,0
2992.N,D,20141218,105.46,105.46,105.46,105.46,0,0
2992.N,D,20141219,105.4,105.4,105.4,105.4,0,0
2992.N,D,20141222,105.57,105.57,105.57,105.57,0,0
2992.N,D,20141223,105.62,105.62,105.62,105.62,0,0
2992.N,D,20141229,105.63,105.63,105.63,105.63,0,0
2992.N,D,20141230,105.6,105.6,105.6,105.6,0,0
2992.N,D,20150102,105.82,105.82,105.82,105.82,0,0
2992.N,D,20150105,106.09,106.09,106.09,106.09,0,0
2992.N,D,20150107,106.21,106.21,106.21,106.21,0,0
2992.N,D,20150108,106.29,106.29,106.29,106.29,0,0
2992.N,D,20150109,106.21,106.21,106.21,106.21,0,0
2992.N,D,20150112,106.49,106.49,106.49,106.49,0,0
2992.N,D,20150113,106.34,106.34,106.34,106.34,0,0
2992.N,D,20150114,106.53,106.53,106.53,106.53,0,0
2992.N,D,20150115,106.53,106.53,106.53,106.53,0,0
2992.N,D,20150116,106.52,106.52,106.52,106.52,0,0
2992.N,D,20150119,106.47,106.47,106.47,106.47,0,0
2992.N,D,20150120,106.42,106.42,106.42,106.42,0,0
2992.N,D,20150121,106.45,106.45,106.45,106.45,0,0
2992.N,D,20150122,106.65,106.65,106.65,106.65,0,0
2992.N,D,20150123,106.82,106.82,106.82,106.82,0,0
2992.N,D,20150126,106.82,106.82,106.82,106.82,0,0
2992.N,D,20150127,107.03,107.03,107.03,107.03,0,0
2992.N,D,20150128,107.03,107.03,107.03,107.03,0,0
2992.N,D,20150129,107.05,107.05,107.05,107.05,0,0
2992.N,D,20150130,107.11,107.11,107.11,107.11,0,0
2992.N,D,20150202,107.05,107.05,107.05,107.05,0,0
2992.N,D,20150203,106.95,106.95,106.95,106.95,0,0
2992.N,D,20150204,106.94,106.94,106.94,106.94,0,0
2992.N,D,20150205,106.78,106.78,106.78,106.78,0,0
2992.N,D,20150206,106.59,106.59,106.59,106.59,0,0
2992.N,D,20150209,106.29,106.29,106.29,106.29,0,0
2992.N,D,20150210,106.23,106.23,106.23,106.23,0,0
2992.N,D,20150211,106.2,106.2,106.2,106.2,0,0
2992.N,D,20150212,106.63,106.63,106.63,106.63,0,0
2992.N,D,20150213,106.72,106.72,106.72,106.72,0,0
2992.N,D,20150216,106.72,106.72,106.72,106.72,0,0
2992.N,D,20150217,106.55,106.55,106.55,106.55,0,0
2992.N,D,20150218,106.38,106.38,106.38,106.38,0,0
2992.N,D,20150219,106.52,106.52,106.52,106.52,0,0
2992.N,D,20150220,106.39,106.39,106.39,106.39,0,0
2992.N,D,20150223,106.55,106.55,106.55,106.55,0,0
2992.N,D,20150224,106.63,106.63,106.63,106.63,0,0
2992.N,D,20150225,106.76,106.76,106.76,106.76,0,0
2992.N,D,20150226,106.88,106.88,106.88,106.88,0,0
2992.N,D,20150227,106.78,106.78,106.78,106.78,0,0
2992.N,D,20150302,106.82,106.82,106.82,106.82,0,0
2992.N,D,20150303,106.76,106.76,106.76,106.76,0,0
2992.N,D,20150304,106.58,106.58,106.58,106.58,0,0
2992.N,D,20150305,106.57,106.57,106.57,106.57,0,0
2992.N,D,20150306,106.18,106.18,106.18,106.18,0,0
2992.N,D,20150309,106.25,106.25,106.25,106.25,0,0
2992.N,D,20150310,106.21,106.21,106.21,106.21,0,0
2992.N,D,20150311,106.29,106.29,106.29,106.29,0,0
2992.N,D,20150312,106.45,106.45,106.45,106.45,0,0
2992.N,D,20150313,106.35,106.35,106.35,106.35,0,0
2992.N,D,20150316,106.45,106.45,106.45,106.45,0,0
2992.N,D,20150317,106.39,106.39,106.39,106.39,0,0
2992.N,D,20150318,106.48,106.48,106.48,106.48,0,0
2992.N,D,20150319,106.78,106.78,106.78,106.78,0,0
2992.N,D,20150320,106.92,106.92,106.92,106.92,0,0
2992.N,D,20150323,106.84,106.84,106.84,106.84,0,0
2992.N,D,20150324,106.87,106.87,106.87,106.87,0,0
2992.N,D,20150325,106.96,106.96,106.96,106.96,0,0
2992.N,D,20150326,106.8,106.8,106.8,106.8,0,0
2992.N,D,20150327,106.83,106.83,106.83,106.83,0,0
2992.N,D,20150330,106.85,106.85,106.85,106.85,0,0
2992.N,D,20150331,106.84,106.84,106.84,106.84,0,0
2992.N,D,20150401,106.86,106.86,106.86,106.86,0,0
2992.N,D,20150402,106.85,106.85,106.85,106.85,0,0
2992.N,D,20150407,106.9,106.9,106.9,106.9,0,0
2992.N,D,20150408,106.97,106.97,106.97,106.97,0,0
2992.N,D,20150409,106.86,106.86,106.86,106.86,0,0
2992.N,D,20150410,106.85,106.85,106.85,106.85,0,0
2992.N,D,20150413,106.74,106.74,106.74,106.74,0,0
2992.N,D,20150414,106.77,106.77,106.77,106.77,0,0
2992.N,D,20150415,106.82,106.82,106.82,106.82,0,0
2992.N,D,20150416,106.77,106.77,106.77,106.77,0,0
2992.N,D,20150417,106.76,106.76,106.76,106.76,0,0
2992.N,D,20150420,106.73,106.73,106.73,106.73,0,0
2992.N,D,20150421,106.65,106.65,106.65,106.65,0,0
2992.N,D,20150422,106.53,106.53,106.53,106.53,0,0
2992.N,D,20150423,106.5,106.5,106.5,106.5,0,0
2992.N,D,20150424,106.54,106.54,106.54,106.54,0,0
2992.N,D,20150427,106.51,106.51,106.51,106.51,0,0
2992.N,D,20150428,106.35,106.35,106.35,106.35,0,0
2992.N,D,20150429,106.21,106.21,106.21,106.21,0,0
2992.N,D,20150430,106.2,106.2,106.2,106.2,0,0
2992.N,D,20150504,106.17,106.17,106.17,106.17,0,0
2992.N,D,20150505,105.69,105.69,105.69,105.69,0,0
2992.N,D,20150506,105.28,105.28,105.28,105.28,0,0
2992.N,D,20150507,105.82,105.82,105.82,105.82,0,0
2992.N,D,20150508,106.15,106.15,106.15,106.15,0,0
